"ParticipantID","Age","Gender","CN_FirstLanguage","Site","EducationScore","CurrentEdScore","HighestEdScore","HighestBiologyScore","HighestChemistryScore","HighestPhysicsScore","HighestEngineeringScore","HighestMathematicsScore","HighestPsychologyScore","HighestOtherScienceScore","STEMscore"
18428,"24","Female","Chinese","CN","0_20_NA_NA",20,0,14,14,14,16,14,14,14,28
18865,"27","Male","Chinese","CN","0_NA_NA",0,NA,12,12,12,0,12,14,0,24
19059,"25","Male","Chinese","CN","0_24_NA_NA",24,0,12,12,12,0,14,0,0,24
20521,"21",NA,NA,"CN","0_16_NA_NA",16,0,NA,8,8,0,NA,14,14,NA
21049,"18","Female","Chinese","CN","0_16_NA_NA",16,0,12,14,14,0,14,0,0,26
21072,"18","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,0,24
21362,"24","Female","Chinese","CN","0_24_NA_NA",24,0,0,0,0,0,0,0,20,0
22799,"19","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,10,0,24
22927,"21","Male","Chinese","CN","0_16_NA_NA",16,0,14,14,14,14,14,14,14,28
23326,"23","Female","Chinese","CN","0_20_NA_NA",20,0,14,12,12,0,14,18,0,26
23347,"28","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,14,0,0,24
23899,"25",NA,NA,"CN","0_NA_NA",0,NA,NA,NA,NA,NA,NA,14,0,NA
23919,"22","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,14,0,24
24240,"30","Female","Chinese","CN","0_24_NA_NA",24,0,12,12,12,12,12,0,0,24
